model,threshold,outer_fold,n_pos_train,n_pos_test,n_train,n_test,auc
l2_logistic,0.4545454545454546,2,1381,155,17308,1956,0.5457290752449356
l2_logistic,0.4545454545454546,3,1389,147,17404,1860,0.5957841396920707
l2_logistic,0.4545454545454546,4,1386,150,17329,1935,0.5356937441643324
l2_logistic,0.4545454545454546,5,1372,164,17317,1947,0.5509281424838925
l2_logistic,0.4545454545454546,6,1398,138,17367,1897,0.5691763271292154
l2_logistic,0.4545454545454546,7,1386,150,17320,1944,0.5849981419546636
l2_logistic,0.4545454545454546,8,1367,169,17308,1956,0.577898232799012
l2_logistic,0.4545454545454546,9,1389,147,17308,1956,0.58532357110893
l2_logistic,0.5454545454545454,0,1081,135,17363,1901,0.5475902856423808
l2_logistic,0.5454545454545454,1,1089,127,17352,1912,0.5104700147775646
l2_logistic,0.5454545454545454,2,1091,125,17308,1956,0.5462326597487712
l2_logistic,0.5454545454545454,3,1099,117,17404,1860,0.579181193639025
l2_logistic,0.5454545454545454,4,1099,117,17329,1935,0.5324579466493659
l2_logistic,0.5454545454545454,5,1087,129,17317,1947,0.5473729543496986
l2_logistic,0.5454545454545454,6,1110,106,17367,1897,0.5512468000379254
l2_logistic,0.5454545454545454,7,1099,117,17320,1944,0.5781277045644861
l2_logistic,0.5454545454545454,8,1095,121,17308,1956,0.5625464453802329
l2_logistic,0.5454545454545454,9,1094,122,17308,1956,0.5720632139728624
l2_logistic,0.6363636363636364,0,847,102,17363,1901,0.5510959247512234
l2_logistic,0.6363636363636364,1,843,106,17352,1912,0.5112726968804195
l2_logistic,0.6363636363636364,2,857,92,17308,1956,0.5452276544131367
l2_logistic,0.6363636363636364,3,857,92,17404,1860,0.572896173519575
l2_logistic,0.6363636363636364,4,860,89,17329,1935,0.5512617624502416
l2_logistic,0.6363636363636364,5,848,101,17317,1947,0.5385634446434893
l2_logistic,0.6363636363636364,6,869,80,17367,1897,0.579389102916896
l2_logistic,0.6363636363636364,7,849,100,17320,1944,0.57
l2_logistic,0.6363636363636364,8,861,88,17308,1956,0.5678715690091493
l2_logistic,0.6363636363636364,9,850,99,17308,1956,0.5768345816811082
l2_logistic,0.7272727272727273,0,583,66,17363,1901,0.5714557014284535
l2_logistic,0.7272727272727273,1,581,68,17352,1912,0.5192835268597676
l2_logistic,0.7272727272727273,2,587,62,17308,1956,0.5062847021153387
l2_logistic,0.7272727272727273,3,583,66,17404,1860,0.5862217492652275
l2_logistic,0.7272727272727273,4,587,62,17329,1935,0.5972478170263334
l2_logistic,0.7272727272727273,5,579,70,17317,1947,0.5424765963924195
l2_logistic,0.7272727272727273,6,594,55,17367,1897,0.6319810482676933
l2_logistic,0.7272727272727273,7,580,69,17320,1944,0.5251323671497585
l2_logistic,0.7272727272727273,8,591,58,17308,1956,0.524853748046946
