outer_fold,inner_fold,role,task,task_type,model,n,n_pos,n_neg,auc,ap,brier,y_mean,y_std,r2,mse,rmse,mae
2,-1,test,y,binary,xgb_clf,2754,68.0,2686.0,0.8209835311637685,0.2256007187667174,0.0735256769265916,,,,,,
2,-1,train,y,binary,xgb_clf,24788,614.0,24174.0,0.9827688253107425,0.5909268487446466,0.058041643122303435,,,,,,
2,-1,test,w_reg,regression,linreg,550,,,,,,0.04749090909090909,0.15627457885833687,-0.05234463770671227,0.025653363900259653,0.1601666753736858,0.08629175357805056
2,-1,train,w_reg,regression,linreg,4700,,,,,,0.047897872340425536,0.16101113716270835,-0.0007425537171574792,0.025938316723091367,0.16105376966433094,0.08543359126664223
2,-1,test,w_reg,regression,xgb_reg,550,,,,,,0.04749090909090909,0.15627457885833687,-0.07122694730731571,0.02611366439698404,0.16159722892730569,0.08025891127272256
2,-1,train,w_reg,regression,xgb_reg,4700,,,,,,0.047897872340425536,0.16101113716270835,0.6550996982602013,0.008939495209019708,0.09454890379597063,0.048513293544786736
2,0,val,y,binary,sparse_logistic,4958,123.0,4835.0,0.7434408656392666,0.21352002569525572,0.13890893941991223,,,,,,
2,0,train,y,binary,sparse_logistic,19830,491.0,19339.0,0.9190392155231417,0.2564363426264155,0.12451947328969805,,,,,,
2,0,val,y,binary,xgb_clf,4958,123.0,4835.0,0.8712866042827956,0.3015998693483055,0.06410038524698072,,,,,,
2,0,train,y,binary,xgb_clf,19830,491.0,19339.0,0.9869111508049804,0.6538417664822888,0.05247984017911521,,,,,,
2,0,val,w_reg,regression,linreg,964,,,,,,0.04670124481327801,0.15675681756488236,-0.040768984610403125,0.025547974306880383,0.1598373370238643,0.08018528422704004
2,0,train,w_reg,regression,linreg,3736,,,,,,0.048206638115631695,0.16210990411079093,0.056391660674459554,0.024791032048267915,0.15745168163048598,0.07945447550155223
2,0,val,w_reg,regression,xgb_reg,964,,,,,,0.04670124481327801,0.15675681756488236,-0.08498058220256621,0.026633245655328118,0.16319695357244912,0.08039330098218093
2,0,train,w_reg,regression,xgb_reg,3736,,,,,,0.048206638115631695,0.16210990411079093,0.713467811098053,0.0075279418185365075,0.08676371256773484,0.04518851685063203
2,1,val,y,binary,sparse_logistic,4958,123.0,4835.0,0.7241859409286957,0.24611400900755914,0.12397978648007546,,,,,,
2,1,train,y,binary,sparse_logistic,19830,491.0,19339.0,0.9202830218981747,0.25074074787198225,0.12282819034641707,,,,,,
2,1,val,y,binary,xgb_clf,4958,123.0,4835.0,0.8411128206421672,0.3079385712897684,0.05807937448319027,,,,,,
2,1,train,y,binary,xgb_clf,19830,491.0,19339.0,0.9845681336395994,0.5930775528651849,0.05500624012791012,,,,,,
2,1,val,w_reg,regression,linreg,934,,,,,,0.04732334047109208,0.1636438907861091,-0.02210342349417682,0.027341932314894762,0.16535396068705085,0.08138276719498175
2,1,train,w_reg,regression,linreg,3766,,,,,,0.04804036112586299,0.1603731851959965,0.05805912496565335,0.024219870566611047,0.15562734517626087,0.07752681189262672
2,1,val,w_reg,regression,xgb_reg,934,,,,,,0.04732334047109208,0.1636438907861091,-0.05437918516765783,0.028205329962141777,0.16794442521900443,0.07994316762756659
2,1,train,w_reg,regression,xgb_reg,3766,,,,,,0.04804036112586299,0.1603731851959965,0.6880567518213236,0.008020912241164052,0.08955954578471272,0.04646530570452392
2,2,val,y,binary,sparse_logistic,4958,123.0,4835.0,0.7213668961922297,0.22351541090913546,0.1267114744050132,,,,,,
2,2,train,y,binary,sparse_logistic,19830,491.0,19339.0,0.9241668298149988,0.25848326938992383,0.12051236915070541,,,,,,
2,2,val,y,binary,xgb_clf,4958,123.0,4835.0,0.8268359943165098,0.29662399933802447,0.06413118621641246,,,,,,
2,2,train,y,binary,xgb_clf,19830,491.0,19339.0,0.9863296090579814,0.6354042220253167,0.05223008502860408,,,,,,
2,2,val,w_reg,regression,linreg,929,,,,,,0.056189451022604954,0.17778968183273564,-0.013874075301403721,0.03201322197794342,0.17892239093512982,0.08925839570594551
