outer_fold,inner_fold,role,task,model,cutoff,tp,fp,tn,fn,precision,recall,f1,tpr,fpr,accuracy
0,-1,test,y,sparse_logistic,0.6,36,312,2374,33,0.10344827586206896,0.5217391304347826,0.1726618705035971,0.5217391304347826,0.11615785554728221,0.8747731397459165
0,-1,test,y,sparse_logistic,0.61,35,305,2381,34,0.10294117647058823,0.5072463768115942,0.1711491442542787,0.5072463768115942,0.11355174981384959,0.876950998185118
0,-1,test,y,sparse_logistic,0.62,35,292,2394,34,0.10703363914373089,0.5072463768115942,0.17676767676767677,0.5072463768115942,0.10871183916604617,0.8816696914700545
0,-1,test,y,sparse_logistic,0.63,35,278,2408,34,0.11182108626198083,0.5072463768115942,0.18324607329842932,0.5072463768115942,0.10349962769918093,0.8867513611615245
0,-1,test,y,sparse_logistic,0.64,35,266,2420,34,0.11627906976744186,0.5072463768115942,0.1891891891891892,0.5072463768115942,0.09903201787043932,0.8911070780399274
0,-1,test,y,sparse_logistic,0.65,34,257,2429,35,0.11683848797250859,0.4927536231884058,0.18888888888888888,0.4927536231884058,0.0956813104988831,0.894010889292196
0,-1,test,y,sparse_logistic,0.66,33,244,2442,36,0.11913357400722022,0.4782608695652174,0.1907514450867052,0.4782608695652174,0.09084139985107967,0.8983666061705989
0,-1,test,y,sparse_logistic,0.67,33,231,2455,36,0.125,0.4782608695652174,0.1981981981981982,0.4782608695652174,0.08600148920327624,0.9030852994555354
0,-1,test,y,sparse_logistic,0.68,31,219,2467,38,0.124,0.4492753623188406,0.19435736677115986,0.4492753623188406,0.08153387937453463,0.9067150635208712
0,-1,test,y,sparse_logistic,0.6900000000000001,30,208,2478,39,0.12605042016806722,0.43478260869565216,0.19543973941368079,0.43478260869565216,0.0774385703648548,0.9103448275862069
0,-1,test,y,sparse_logistic,0.7000000000000001,30,204,2482,39,0.1282051282051282,0.43478260869565216,0.19801980198019803,0.43478260869565216,0.0759493670886076,0.9117967332123412
0,-1,test,y,sparse_logistic,0.7100000000000001,29,197,2489,40,0.12831858407079647,0.42028985507246375,0.19661016949152543,0.42028985507246375,0.07334326135517498,0.9139745916515426
0,-1,test,y,sparse_logistic,0.72,29,191,2495,40,0.1318181818181818,0.42028985507246375,0.20069204152249134,0.42028985507246375,0.07110945644080417,0.9161524500907441
0,-1,test,y,sparse_logistic,0.73,28,180,2506,41,0.1346153846153846,0.4057971014492754,0.20216606498194947,0.4057971014492754,0.06701414743112435,0.9197822141560799
0,-1,test,y,sparse_logistic,0.74,28,171,2515,41,0.1407035175879397,0.4057971014492754,0.20895522388059706,0.4057971014492754,0.06366344005956813,0.923049001814882
0,-1,test,y,sparse_logistic,0.75,27,162,2524,42,0.14285714285714285,0.391304347826087,0.20930232558139536,0.391304347826087,0.06031273268801191,0.9259528130671506
0,-1,test,y,sparse_logistic,0.76,26,155,2531,43,0.143646408839779,0.37681159420289856,0.20800000000000002,0.37681159420289856,0.0577066269545793,0.9281306715063521
0,-1,test,y,sparse_logistic,0.77,26,147,2539,43,0.15028901734104047,0.37681159420289856,0.21487603305785125,0.37681159420289856,0.05472822040208489,0.9310344827586207
0,-1,test,y,sparse_logistic,0.78,26,138,2548,43,0.15853658536585366,0.37681159420289856,0.22317596566523604,0.37681159420289856,0.05137751303052867,0.9343012704174228
0,-1,test,y,sparse_logistic,0.79,26,132,2554,43,0.16455696202531644,0.37681159420289856,0.22907488986784139,0.37681159420289856,0.049143708116157855,0.9364791288566243
0,-1,test,y,sparse_logistic,0.8,25,126,2560,44,0.16556291390728478,0.36231884057971014,0.2272727272727273,0.36231884057971014,0.04690990320178704,0.9382940108892922
0,-1,test,y,sparse_logistic,0.81,25,121,2565,44,0.17123287671232876,0.36231884057971014,0.23255813953488372,0.36231884057971014,0.04504839910647804,0.9401088929219601
0,-1,test,y,sparse_logistic,0.8200000000000001,25,116,2570,44,0.1773049645390071,0.36231884057971014,0.2380952380952381,0.36231884057971014,0.04318689501116903,0.941923774954628
0,-1,test,y,sparse_logistic,0.8300000000000001,24,112,2574,45,0.17647058823529413,0.34782608695652173,0.23414634146341462,0.34782608695652173,0.04169769173492182,0.9430127041742287
0,-1,test,y,sparse_logistic,0.8400000000000001,24,108,2578,45,0.18181818181818182,0.34782608695652173,0.2388059701492537,0.34782608695652173,0.040208488458674606,0.944464609800363
0,-1,test,y,sparse_logistic,0.85,23,103,2583,46,0.18253968253968253,0.3333333333333333,0.23589743589743592,0.3333333333333333,0.0383469843633656,0.9459165154264972
0,-1,test,y,sparse_logistic,0.86,22,99,2587,47,0.18181818181818182,0.3188405797101449,0.23157894736842105,0.3188405797101449,0.036857781087118395,0.947005444646098
