model,threshold,outer_fold,n_pos_train,n_pos_test,n_train,n_test,auc
l2_logistic,0.4545454545454546,8,332,34,5190,576,0.5012481007163012
l2_logistic,0.4545454545454546,9,330,36,5203,563,0.5872338182584862
l2_logistic,0.5454545454545454,0,248,34,5185,581,0.4474943542316378
l2_logistic,0.5454545454545454,1,244,38,5159,607,0.531033206918879
l2_logistic,0.5454545454545454,2,249,33,5175,591,0.5504507439991312
l2_logistic,0.5454545454545454,3,258,24,5189,577,0.5739150090415914
l2_logistic,0.5454545454545454,4,258,24,5214,552,0.4925820707070707
l2_logistic,0.5454545454545454,5,259,23,5202,564,0.5106485574218437
l2_logistic,0.5454545454545454,6,246,36,5184,582,0.6589845339845339
l2_logistic,0.5454545454545454,7,261,21,5193,573,0.5764751552795031
l2_logistic,0.5454545454545454,8,257,25,5190,576,0.47339382940108893
l2_logistic,0.5454545454545454,9,258,24,5203,563,0.5647804576376005
l2_logistic,0.6363636363636364,0,188,29,5185,581,0.3923975512243878
l2_logistic,0.6363636363636364,1,190,27,5159,607,0.5878033205619412
l2_logistic,0.6363636363636364,2,190,27,5175,591,0.5127396900446545
l2_logistic,0.6363636363636364,3,199,18,5189,577,0.578910753329358
l2_logistic,0.6363636363636364,4,196,21,5214,552,0.486324096493588
l2_logistic,0.6363636363636364,5,199,18,5202,564,0.4946072446072446
l2_logistic,0.6363636363636364,6,188,29,5184,582,0.6168859512377627
l2_logistic,0.6363636363636364,7,202,15,5193,573,0.4385902031063321
l2_logistic,0.6363636363636364,8,200,17,5190,576,0.4763758813006419
l2_logistic,0.6363636363636364,9,201,16,5203,563,0.5113117001828154
l2_logistic,0.7272727272727273,0,118,23,5185,581,0.44760012466884835
l2_logistic,0.7272727272727273,1,122,19,5159,607,0.6007876834944504
l2_logistic,0.7272727272727273,2,124,17,5175,591,0.5425292068046731
l2_logistic,0.7272727272727273,3,128,13,5189,577,0.6387070376432078
l2_logistic,0.7272727272727273,4,130,11,5214,552,0.5462947403797681
l2_logistic,0.7272727272727273,5,127,14,5202,564,0.5053246753246754
l2_logistic,0.7272727272727273,6,122,19,5184,582,0.6221370477704029
l2_logistic,0.7272727272727273,7,132,9,5193,573,0.5019700551615445
l2_logistic,0.7272727272727273,8,132,9,5190,576,0.45385067607289825
l2_logistic,0.7272727272727273,9,134,7,5203,563,0.5182425488180884
l2_logistic,0.8181818181818182,0,76,14,5185,581,0.5568783068783069
l2_logistic,0.8181818181818182,1,78,12,5159,607,0.6862745098039216
l2_logistic,0.8181818181818182,2,79,11,5175,591,0.5868338557993731
l2_logistic,0.8181818181818182,3,80,10,5189,577,0.6597883597883598
l2_logistic,0.8181818181818182,4,81,9,5214,552,0.6707591569470022
l2_logistic,0.8181818181818182,5,79,11,5202,564,0.5219464080223574
l2_logistic,0.8181818181818182,6,81,9,5184,582,0.535194880744619
l2_logistic,0.8181818181818182,7,84,6,5193,573,0.6052322163433275
l2_logistic,0.8181818181818182,8,86,4,5190,576,0.4680944055944056
l2_logistic,0.8181818181818182,9,86,4,5203,563,0.6328264758497316
l2_logistic,0.9090909090909092,0,36,5,5185,581,0.44600694444444444
l2_logistic,0.9090909090909092,1,34,7,5159,607,0.5257142857142857
l2_logistic,0.9090909090909092,2,35,6,5175,591,0.5991452991452991
l2_logistic,0.9090909090909092,3,35,6,5189,577,0.7816695855224752
l2_logistic,0.9090909090909092,4,38,3,5214,552,0.9058894960534305
l2_logistic,0.9090909090909092,5,36,5,5202,564,0.5037567084078712
l2_logistic,0.9090909090909092,6,39,2,5184,582,0.37327586206896546
l2_logistic,0.9090909090909092,7,39,2,5193,573,0.6952714535901927
l2_logistic,0.9090909090909092,8,39,2,5190,576,0.5993031358885016
l2_logistic,0.9090909090909092,9,38,3,5203,563,0.5380952380952382
xgboost,0.09090909090909091,0,1064,115,5185,581,0.5513715245381601
xgboost,0.09090909090909091,1,1048,131,5159,607,0.5700574122778883
xgboost,0.09090909090909091,2,1058,121,5175,591,0.5046773342711447
xgboost,0.09090909090909091,3,1076,103,5189,577,0.5413338249149973
xgboost,0.09090909090909091,4,1069,110,5214,552,0.6091628959276019
xgboost,0.09090909090909091,5,1063,116,5202,564,0.5419488916256158
xgboost,0.09090909090909091,6,1046,133,5184,582,0.6167757924879012
xgboost,0.09090909090909091,7,1075,104,5193,573,0.5579588322125636
xgboost,0.09090909090909091,8,1066,113,5190,576,0.5381027924845658
xgboost,0.09090909090909091,9,1046,133,5203,563,0.5971585941598181
xgboost,0.18181818181818182,0,681,74,5185,581,0.529878991417453
xgboost,0.18181818181818182,1,669,86,5159,607,0.5439003704860956
xgboost,0.18181818181818182,2,674,81,5175,591,0.503679496489954
xgboost,0.18181818181818182,3,694,61,5189,577,0.5314525352649638
xgboost,0.18181818181818182,4,681,74,5214,552,0.5741688341060727
