arm,task,model,outer_fold,role,n,n_pos,n_neg,auc,ap
3_presence_concat_equaldim,y,xgb_clf,9,test,498,20,478,0.8195606694560669,0.44903192154929894
3_presence_concat_equaldim,y,mlp_clf_y,0,test,533,17,516,0.7741678066575468,0.09433200709798588
3_presence_concat_equaldim,y,mlp_clf_y,1,test,534,20,514,0.8126459143968872,0.26537785445104617
3_presence_concat_equaldim,y,mlp_clf_y,2,test,550,24,526,0.7590304182509506,0.17881434380866756
3_presence_concat_equaldim,y,mlp_clf_y,3,test,514,15,499,0.7307949231796927,0.14377844375938564
3_presence_concat_equaldim,y,mlp_clf_y,4,test,526,16,510,0.7699754901960785,0.21352209952858786
3_presence_concat_equaldim,y,mlp_clf_y,5,test,528,17,511,0.8033843674456084,0.3791437715325384
3_presence_concat_equaldim,y,mlp_clf_y,6,test,531,13,518,0.9088209088209088,0.2899905011261826
3_presence_concat_equaldim,y,mlp_clf_y,7,test,538,18,520,0.8051282051282052,0.4856839566736301
3_presence_concat_equaldim,y,mlp_clf_y,8,test,498,22,476,0.8035714285714286,0.21177423165291917
3_presence_concat_equaldim,y,mlp_clf_y,9,test,498,20,478,0.8465481171548117,0.32875894831904884
3_presence_concat_equaldim,w_class,sparse_logistic,0,test,533,194,339,0.5301219475108718,0.37462021369714027
3_presence_concat_equaldim,w_class,sparse_logistic,1,test,534,202,332,0.6133096743409281,0.4714687848237439
3_presence_concat_equaldim,w_class,sparse_logistic,2,test,550,217,333,0.6019567955051827,0.4875085595459147
3_presence_concat_equaldim,w_class,sparse_logistic,3,test,514,215,299,0.531912576806409,0.4471808168065517
3_presence_concat_equaldim,w_class,sparse_logistic,4,test,526,231,295,0.5782229070364664,0.504268344633303
3_presence_concat_equaldim,w_class,sparse_logistic,5,test,528,189,339,0.5950898222284653,0.4480468763216181
3_presence_concat_equaldim,w_class,sparse_logistic,6,test,531,198,333,0.5901659234992569,0.4365240190737419
3_presence_concat_equaldim,w_class,sparse_logistic,7,test,538,198,340,0.5677807486631017,0.41702919985669734
3_presence_concat_equaldim,w_class,sparse_logistic,8,test,498,191,307,0.5814758599519074,0.45435421043551105
3_presence_concat_equaldim,w_class,sparse_logistic,9,test,498,184,314,0.6023954583217945,0.4577241939255493
3_presence_concat_equaldim,w_class,xgb_clf,0,test,533,194,339,0.5507861204877901,0.39095552142455486
3_presence_concat_equaldim,w_class,xgb_clf,1,test,534,202,332,0.6146665871406417,0.48586723753490146
3_presence_concat_equaldim,w_class,xgb_clf,2,test,550,217,333,0.5871908775134581,0.47910538749469245
3_presence_concat_equaldim,w_class,xgb_clf,3,test,514,215,299,0.5509061211791243,0.46188413884152973
3_presence_concat_equaldim,w_class,xgb_clf,4,test,526,231,295,0.6084672389757135,0.5353433926595161
3_presence_concat_equaldim,w_class,xgb_clf,5,test,528,189,339,0.5780150145931857,0.4566642633230483
3_presence_concat_equaldim,w_class,xgb_clf,6,test,531,198,333,0.5982800982800984,0.4700120174854607
3_presence_concat_equaldim,w_class,xgb_clf,7,test,538,198,340,0.5709001782531195,0.42250687587626545
3_presence_concat_equaldim,w_class,xgb_clf,8,test,498,191,307,0.5891672493476815,0.466596666209793
3_presence_concat_equaldim,w_class,xgb_clf,9,test,498,184,314,0.6132130988645804,0.46476893289381477
3_presence_concat_equaldim,w_class,mlp_clf_w_class,0,test,533,194,339,0.5746738436274063,0.4090607532730711
3_presence_concat_equaldim,w_class,mlp_clf_w_class,1,test,534,202,332,0.6039603960396039,0.4498433351567145
3_presence_concat_equaldim,w_class,mlp_clf_w_class,2,test,550,217,333,0.6440403537177732,0.5191688656565916
3_presence_concat_equaldim,w_class,mlp_clf_w_class,3,test,514,215,299,0.6076223069145212,0.5074572632577143
3_presence_concat_equaldim,w_class,mlp_clf_w_class,4,test,526,231,295,0.5954802259887005,0.5098239272731735
3_presence_concat_equaldim,w_class,mlp_clf_w_class,5,test,528,189,339,0.5838366811818139,0.44026565405598317
3_presence_concat_equaldim,w_class,mlp_clf_w_class,6,test,531,198,333,0.6164042830709497,0.485999883801288
3_presence_concat_equaldim,w_class,mlp_clf_w_class,7,test,538,198,340,0.5931075460487225,0.4366242572342735
3_presence_concat_equaldim,w_class,mlp_clf_w_class,8,test,498,191,307,0.6386752391834508,0.4999450504917349
3_presence_concat_equaldim,w_class,mlp_clf_w_class,9,test,498,184,314,0.6000415397396843,0.4605393075435869
4_full_presence_sum_equaldim,y,sparse_logistic,0,test,533,17,516,0.6805745554035568,0.09277545059424694
4_full_presence_sum_equaldim,y,sparse_logistic,1,test,534,20,514,0.6494163424124514,0.2077420378020299
4_full_presence_sum_equaldim,y,sparse_logistic,2,test,550,24,526,0.6817173637515843,0.1942475621044974
4_full_presence_sum_equaldim,y,sparse_logistic,3,test,514,15,499,0.5832999331997328,0.14062918806729455
4_full_presence_sum_equaldim,y,sparse_logistic,4,test,526,16,510,0.7455882352941177,0.30334028396599527
4_full_presence_sum_equaldim,y,sparse_logistic,5,test,528,17,511,0.762518706112582,0.3746096726058749
4_full_presence_sum_equaldim,y,sparse_logistic,6,test,531,13,518,0.8402138402138403,0.2445064796703916
4_full_presence_sum_equaldim,y,sparse_logistic,7,test,538,18,520,0.7950854700854701,0.3843821085012916
4_full_presence_sum_equaldim,y,sparse_logistic,8,test,498,22,476,0.7490450725744844,0.22128622978994233
4_full_presence_sum_equaldim,y,sparse_logistic,9,test,498,20,478,0.768305439330544,0.2617568903722128
4_full_presence_sum_equaldim,y,xgb_clf,0,test,533,17,516,0.7851117191062471,0.12522766257260054
4_full_presence_sum_equaldim,y,xgb_clf,1,test,534,20,514,0.7488326848249027,0.301966629241634
4_full_presence_sum_equaldim,y,xgb_clf,2,test,550,24,526,0.747148288973384,0.29690650401817353
4_full_presence_sum_equaldim,y,xgb_clf,3,test,514,15,499,0.6964595858383433,0.1252471532395134
4_full_presence_sum_equaldim,y,xgb_clf,4,test,526,16,510,0.7818627450980392,0.26950513233737944
4_full_presence_sum_equaldim,y,xgb_clf,5,test,528,17,511,0.7652814550477726,0.3512522040190334
4_full_presence_sum_equaldim,y,xgb_clf,6,test,531,13,518,0.9137214137214137,0.22206318219241059
4_full_presence_sum_equaldim,y,xgb_clf,7,test,538,18,520,0.8582264957264958,0.5697449078233691
4_full_presence_sum_equaldim,y,xgb_clf,8,test,498,22,476,0.8363254392666157,0.2309698566380277
4_full_presence_sum_equaldim,y,xgb_clf,9,test,498,20,478,0.8102510460251046,0.3365779404869403
4_full_presence_sum_equaldim,y,mlp_clf_y,0,test,533,17,516,0.7721158230734154,0.14805978350175664
4_full_presence_sum_equaldim,y,mlp_clf_y,1,test,534,20,514,0.8089494163424126,0.2604130697304125
4_full_presence_sum_equaldim,y,mlp_clf_y,2,test,550,24,526,0.7469106463878328,0.30148232202454267
4_full_presence_sum_equaldim,y,mlp_clf_y,3,test,514,15,499,0.7555110220440883,0.13864199516581907
4_full_presence_sum_equaldim,y,mlp_clf_y,4,test,526,16,510,0.8062499999999999,0.24447084432456556
4_full_presence_sum_equaldim,y,mlp_clf_y,5,test,528,17,511,0.7959019224128007,0.3685599250288307
4_full_presence_sum_equaldim,y,mlp_clf_y,6,test,531,13,518,0.9189189189189189,0.23367186548226795
4_full_presence_sum_equaldim,y,mlp_clf_y,7,test,538,18,520,0.826068376068376,0.5626576408897079
4_full_presence_sum_equaldim,y,mlp_clf_y,8,test,498,22,476,0.8456837280366692,0.2585318366781223
4_full_presence_sum_equaldim,y,mlp_clf_y,9,test,498,20,478,0.8213389121338912,0.3344799984272458
4_full_presence_sum_equaldim,w_class,sparse_logistic,0,test,533,194,339,0.5304564668673784,0.37458059114031195
4_full_presence_sum_equaldim,w_class,sparse_logistic,1,test,534,202,332,0.6143534534176309,0.47202259182776024
4_full_presence_sum_equaldim,w_class,sparse_logistic,2,test,550,217,333,0.6019291180581503,0.4865166565090661
4_full_presence_sum_equaldim,w_class,sparse_logistic,3,test,514,215,299,0.5320992455471727,0.4473862702985542
4_full_presence_sum_equaldim,w_class,sparse_logistic,4,test,526,231,295,0.5782082324455206,0.5047544246125145
4_full_presence_sum_equaldim,w_class,sparse_logistic,5,test,528,189,339,0.5947932762092054,0.4470430434718209
4_full_presence_sum_equaldim,w_class,sparse_logistic,6,test,531,198,333,0.5898625898625899,0.43596352089490636
4_full_presence_sum_equaldim,w_class,sparse_logistic,7,test,538,198,340,0.5675727866904338,0.41664401474638113
4_full_presence_sum_equaldim,w_class,sparse_logistic,8,test,498,191,307,0.5819533741494278,0.45483875507393984
4_full_presence_sum_equaldim,w_class,sparse_logistic,9,test,498,184,314,0.6020666020492937,0.45775242372387914
4_full_presence_sum_equaldim,w_class,xgb_clf,0,test,533,194,339,0.5413739622297236,0.3885679898732278
4_full_presence_sum_equaldim,w_class,xgb_clf,1,test,534,202,332,0.600307169271144,0.47774219915590344
4_full_presence_sum_equaldim,w_class,xgb_clf,2,test,550,217,333,0.5647998228643389,0.44895418427178313
4_full_presence_sum_equaldim,w_class,xgb_clf,3,test,514,215,299,0.576417515750175,0.4828398977109077
4_full_presence_sum_equaldim,w_class,xgb_clf,4,test,526,231,295,0.5847824491892288,0.5131823744080747
4_full_presence_sum_equaldim,w_class,xgb_clf,5,test,528,189,339,0.5566480935212498,0.41862580475483374
4_full_presence_sum_equaldim,w_class,xgb_clf,6,test,531,198,333,0.5933509266842599,0.4541311524689895
4_full_presence_sum_equaldim,w_class,xgb_clf,7,test,538,198,340,0.5621954842543078,0.4145099088227985
4_full_presence_sum_equaldim,w_class,xgb_clf,8,test,498,191,307,0.5859269744359363,0.4514123689518799
4_full_presence_sum_equaldim,w_class,xgb_clf,9,test,498,184,314,0.5984837995015231,0.4494612693313006
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,0,test,533,194,339,0.5749779521333211,0.40100035496022557
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,1,test,534,202,332,0.596161875223667,0.4589952867989678
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,2,test,550,217,333,0.6396258009161235,0.5271727942910077
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,3,test,514,215,299,0.6008555650618341,0.513526441248973
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,4,test,526,231,295,0.6157458360848191,0.5542019810099672
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,5,test,528,189,339,0.5841956579419706,0.4209177703744471
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,6,test,531,198,333,0.648178481511815,0.512971231169054
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,7,test,538,198,340,0.593939393939394,0.43333128843906144
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,8,test,498,191,307,0.6091034670941555,0.4912721848022138
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,9,test,498,184,314,0.6068609803378565,0.46727202407769164
